,Full Name,Christoffersen LR (one-side),"Pajhede LR (K=1, one-side)","Pajhede LR (K=3, one-side)","Pajhede LR (K=5, one-side)","Pajhede LR (K=10, one-side)"
HEDG,Credit Suisse Hedge Fund Index ,9.604125023306992,9.604125023306992,7.147641036484529,3.9109940106016126,1.8593080634452264
HEDG_CVARB,Credit Suisse Convertible Arbitrage Hedge Fund Index,1.9938789434602882,1.9938789434602882,0.8800728112339868,0.6363025652545531,0.5297649236189699
HEDG_DEDSH,Credit Suisse Dedicated Short Bias Hedge Fund Index,1.1434258109652404,1.1434258109652404,0.2638372076651905,0.12668155282480598,0.847179407388424
HEDG_EMMKT,Credit Suisse Emerging Markets Hedge Fund Index,1.9938789434602882,1.9938789434602882,2.851468965927765,0.7665051084310335,1.5417623814288106
HEDG_EQNTR,Credit Suisse Equity Market Neutral Hedge Fund Index,5.2544639353462514,5.2544639353462514,2.851468965927765,2.269545617194126,4.060016612234094
HEDG_EVDRV,Credit Suisse Event Driven Hedge Fund Index,9.604125023306992,9.604125023306992,6.349490816269622,5.652945736223657,2.58670965786753
HEDG_DISTR,Credit Suisse Event Driven Distressed Hedge Fund Index,9.604125023306992,9.604125023306992,10.419377468418816,9.465163991612513,6.459022754579678
HEDG_MSEVD,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,9.604125023306992,9.604125023306992,10.419377468418816,9.765271775668808,3.566899422201118
HEDG_MRARB,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,1.9938789434602882,1.9938789434602882,0.8800728112339868,0.010037361220639696,0.14476878225652
HEDG_FIARB,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,5.2544639353462514,5.2544639353462514,0.9722419427600357,0.01876534395958629,0.3256505346391947
HEDG_GLMAC,Credit Suisse Global Macro Hedge Fund Index,5.2544639353462514,5.2544639353462514,14.424262991489542,10.395476546197173,8.102231596624279
HEDG_LOSHO,Credit Suisse Long/Short Equity Hedge Fund Index,5.2544639353462514,5.2544639353462514,1.248975944245828,0.13380751119275658,2.5776524611298868
HEDG_MGFUT,Credit Suisse Managed Futures Hedge Fund Index,0.1527787288320468,0.1527787288320468,0.008212563754611324,0.0019156471042123258,0.9462910354123863
HEDG_MULTI,Credit Suisse Multi-Strategy Hedge Fund Index,14.913264632956484,14.913264632956484,10.827396448717991,10.07520373836347,6.648580582454187
S&P 500 Daily,,38.33477885938373,38.33477885938373,107.91342284577513,154.10413224008153,189.93328673587757
S&P 500 Weekly,,3.2462424600405484,3.2462424600405484,12.741830156457752,18.349996852287347,23.159112803535322
S&P 500 Monthly,,1.9938789434602882,1.9938789434602882,5.290116524566329,5.038024988039197,11.233986799634309
