,Full Name
HEDG,Credit Suisse Hedge Fund Index 
HEDG_CVARB,Credit Suisse Convertible Arbitrage Hedge Fund Index
HEDG_DEDSH,Credit Suisse Dedicated Short Bias Hedge Fund Index
HEDG_EMMKT,Credit Suisse Emerging Markets Hedge Fund Index
HEDG_EQNTR,Credit Suisse Equity Market Neutral Hedge Fund Index
HEDG_EVDRV,Credit Suisse Event Driven Hedge Fund Index
HEDG_DISTR,Credit Suisse Event Driven Distressed Hedge Fund Index
HEDG_MSEVD,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index
HEDG_MRARB,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index
HEDG_FIARB,Credit Suisse Fixed Income Arbitrage Hedge Fund Index
HEDG_GLMAC,Credit Suisse Global Macro Hedge Fund Index
HEDG_LOSHO,Credit Suisse Long/Short Equity Hedge Fund Index
HEDG_MGFUT,Credit Suisse Managed Futures Hedge Fund Index
HEDG_MULTI,Credit Suisse Multi-Strategy Hedge Fund Index
